BidderID,Bid
bd7cb8ad-5fe2-45b7-a3a9-b927788a0131,5540.0
2979fdb3-a108-434c-9547-940c37e671f0,1082.2361022333173
539f31e9-7aeb-4777-8a6f-d39b8f8571e1,937.3471466946578
9f9893bd-5eb5-4e79-9e85-48f3b6e33375,810.6954619755787
68174ae2-58b2-485c-a89f-6905b3a47234,688.0430694462891
7eeaf08d-d2e9-4fce-88ad-73940a185323,641.0975017320682
ce3c50af-384b-48a9-91e0-f5bc70fe559d,611.8942473910747
327b7d84-2646-4818-a1ee-a45a2e7d716c,523.5810038422087
d29c17f2-145e-4b77-9ed5-baea3039ca0c,492.6430502294368
a951e618-f7d3-4e00-bec2-fe98142ed243,490.05538316119663
16f17cbd-0dd3-4785-ba48-b249eab8c032,490.0
2aa7a8f8-03dc-4ba8-a149-18e22fea1de0,380.0
6b711568-4cfa-43fd-850a-866107f99b1c,320.0
b4f89140-1764-4d50-889e-95aae2ed8403,270.0
cde10767-16ca-48e4-8ba7-4622d50aafba,250.0
1f4e68fd-dd02-4c06-8ce7-70db01a98e57,240.0
3a100534-7b8b-4536-9e35-73b4ae6b2a59,150.0
0a058a6e-ea07-498d-a2fd-09db68f16b4f,100.0
0e572b2d-4b06-4e93-9244-28d3cbe1d53e,100.0
43b96c51-f835-4004-a482-183291910268,100.0
