BidderID,Price
44b9f088-7d6e-48c9-91a9-ab0fca5cdeeb,3650.0
d8aabf51-f6c5-4d8b-9565-89e61f103813,3000.0
a2c5e255-fec2-4722-b45b-dd2455198d86,2500.0
c3ad7094-88ae-4a82-a9e1-00bf7acf29e2,2170.0
515e52cb-5a62-415e-9f08-9e2fa92f7061,880.0
90546bf0-1794-4282-a2b1-81dca290800b,650.0
10fa3930-fa02-4c4a-8fd6-4bc5d831c171,600.0
20d08fc0-b213-4d18-ba9a-6ce7ec9df829,530.0
2e405ca2-8810-4448-b682-5d186ab24391,500.0
f583da53-bff4-436e-8e87-487f8122beee,360.0
6b711568-4cfa-43fd-850a-866107f99b1c,320.0
c536f9aa-9f3a-43e1-832e-9434911aa3b3,300.0
30284a72-15db-4f39-8699-5e6394d9eb6e,280.0
18527f56-499f-416b-bef4-c2e20f654223,250.0
be7bdddc-ee64-482b-afea-46216544807d,225.0
28f05d7e-5c30-4b27-9f81-d88d20d08ac6,200.0
fa7f5e1c-3016-450a-a778-6aaca9ba1d4a,150.0
3a100534-7b8b-4536-9e35-73b4ae6b2a59,110.0
86052521-4456-4808-b03d-7a892c0f17f2,100.0
08bade48-1081-488f-b459-6c75d75312ae,100.0
