KeywordID,Frequency
100090ebe40971fd,    3
1001140e40fff9fd,    0
10024382a4ae7a07,    1
1002d06dcd20f283,   21
1003306ca93ebfee,    0
1004a8c8af63bb5b,    4
1005df05ad84f962,    2
10068f9fe94d0f16,    0
1006a4984b65f5e5,    3
1006f25cb0122400,   13
1006fe0534f616c9,    3
100752226da94f8a,    0
1008b6594d0930d8,    9
1009e6d758abbd11,    0
100aad48ff6522b5, 4376
100ac8b36e0fd037,    2
100aff8b136d865a,    1
100b1cfbdf08ffdc,    0
100c88088924ed6a,    0
100e059c905ad24e,    7
100e12ed2a2712d7,    0
100e524b01ab76be,    0
100e750337bc5b64,  179
100f40c85629e8ba,   12
1010532ee989f0a0,    0
101172a5bc384e0f,    0
10126155001c2902,   48
1012f9ae41403dc5,   85
1013039a3fc8bdf9,   15
10133c24c5fa8e64,    9
1013e2a7e83ebe57,   40
1016cd0d31e8ac07,  712
101a6b5a70943e05,   17
101aaa0bf53725ba,    1
101c1926bacce1c8,    4
101c34fdf5bc40b1,  652
101e55cfcb3933a7,    0
101f2fde490750cf,    3
1021cd0f48220dd1,   17
1024d08c302c0e95,    0
1027851d533f48b7,   31
1027b84035bb7209,  100
102836740224b8ea,    3
1029483a94c52139,    2
102af0bc9e5cdb22,   12
102b4c2430f9eb51,    2
102b8a972fe91183,  186
102c36aeef204672,    0
102c454fd9286c94,    0
102c6324a3df2d64,    1
102ca9cdfac80d90,   17
102d00a393125809,    0
102d8a588215e569,    3
102dc9b7d4d91bab,    3
10307d15011072b4,    0
1031bb1633f4e1f2,   71
1031bdb98fa74a5d,    0
10327cf8818c9d8f,    1
1033b42c99b19ec8,    1
1033d9ab7b0b0af6,    0
1033e0b3e0b16003,    2
1035b548d2888517,   25
1035c227f24f90d7,   96
103661124c48ec93,   66
1038a5d1c6daa2e9,    2
1038d287c3b3c50c,    4
1038d4c187af4388,    8
103a7f5c85b98da8,  860
103b7146d7b599cc,    3
103c45474ffcbb9e, 3493
103d3b6fbbbcbeed,    6
103e0205e33f4f13,    0
103f20716cda86f6,   12
103f7222224b4d04,  113
1041df438a18d4d1,    0
1042f8819121e8b6,    1
10434b2a15c66713,    0
104464b70a4c0dfd,   16
1044b87386f0aee0,   22
1045437fa7ea2aff,    0
1047516b69da4837,    0
10482317a5104796,   10
10485aaf7b4d2f40,  126
10487e7865879487,  271
1048982ac3d1d202,   12
1048eb9869d0bde3,   84
1049137ec56213fd,    3
104c96995eb178aa,   31
104d25425926915d,    1
104ecc71f9d114be,    5
104f7fe05072f3ed,    0
1050b6033d67b8bd,    0
1051ed8b489e9e90,   47
1053e173246da759,    4
105440154f6b9bec,    0
105494345e9c1e2e,   21
10550158c7af4dd8,   19
10552cadf67ca153,    0
1055a86b3226161a,    0
10563a6d0862987a,  341
10564d5bf967faf4,    3
1056f08542b3cb8c,    1
10581ffb733ac22a,    0
105835d4810f4bac,   14
105847efab17afda,    4
1058af854c287af8,   10
105aa36435895038,    2
105b967dfe40d0a0,   21
105c6a47f14bcd8b,    0
105c8d7f3ab99e60,    0
105cd249f1a467e3,    5
105dd71ea3e39b0e,    4
105e91ba2b4a4fcd,    1
105f14aef8b6fe1c,    2
105f8ba278f83d8b,    6
105fbd218e6c2023,   68
1061cd97e5fc8373,   10
10623001d64a540f,    4
1064bf5d5dd65b95,   21
1065232243ff8ca2,   23
1065ade17602f116,  256
1065d9aeb8db8f04,    3
10660a0a6dff8bf2,  130
106748a176b17480,    1
106751d387f5df67,   19
106768a0d90e3468,    3
10676bff3bcfb72e,    4
106784ef4d92da18,    9
10680eb0c77870f3,  202
10682d1acc19165d,    1
1068aabe66ad5d32,    0
10692a5804d1ddfe,   94
1069f6d3db82cfa4,    6
106b4b78429e6ebb,    2
106bc062183f4ec1,   37
106bc2402f32b099,    0
106c82ce216c90aa,    0
106d46275705539d,   73
106daa9752ca7173,    1
106e1094382b69f3,    0
106e60c76afb2094,  226
106f3ca85ad3fad7,   42
1072c9bd2e63a525,   18
10739395cf18bad2,    0
107598392795bbb1,    0
1075d8b54a09e8b2,    0
1076c52d51898144,    3
10775c1778ba714c,    3
107773b47c677e2e,   37
1077a762d9a4bbb7,   39
1077d6a93ff22102,    1
10784863fe99a8dc,    4
1078a801dc5dde16,    2
107ad66db7d0abc9,    1
107adbf0406a94d5,   53
107b4d191bfab867,    0
107d2e1f270ec454,    1
107efec7360c1827,    1
107f7150667c70d4,   23
107fbdb54f4e0399,    2
10815e511ef9dcbc,   66
1081ee45871511db,   13
10829ecc5cd3bf11,    0
1083465319df9765,    2
1083ff99576a0f25,    0
10850b09791194fd,    1
1085287f0be81548,    4
1085a894fdbe6b99,    1
1085cb708f19ea5d,    1
