Bidder,ClickRate
9f9893bd-5eb5-4e79-9e85-48f3b6e33375,0.00339631480324797
b5f02143-b63e-4062-bb82-0624909e55ac,0.008662734533916609
bcbad0a2-c502-44ba-9e8a-16ade955ece5,0.0010894564822660695
10fa3930-fa02-4c4a-8fd6-4bc5d831c171,  0.0
2aa7a8f8-03dc-4ba8-a149-18e22fea1de0,0.12413793103448276
14786232-228b-4215-914c-b1bf75098278,  0.0
2e405ca2-8810-4448-b682-5d186ab24391,0.016725009723842863
7548d7ec-edd8-4d1e-bcb7-6d26ce9a6fe7,  0.0
0e572b2d-4b06-4e93-9244-28d3cbe1d53e,0.008333333333333333
fa7f5e1c-3016-450a-a778-6aaca9ba1d4a,0.0763888888888889
ae30807c-5316-42ee-a031-589fdb08e4ba,0.004363409693002961
3a100534-7b8b-4536-9e35-73b4ae6b2a59,0.008043310131477185
9ad077de-1acf-46f8-8ae9-481527be0ebe,  0.0
40269c75-24f2-4034-a1d5-bcab7d701900,  0.0
52852966-92dd-43ac-8435-01b9e6021c7c,  0.0
10d4eae8-2536-4ac8-934c-c14a9b432693,  0.0
ee751aeb-9470-475a-8848-5d000a59ce6a,0.0029239766081871343
9eb5a22f-1870-42b1-aaae-2faa5235ae34,0.01893939393939394
6b0c5540-fb00-4824-8164-1dc69bb8c90c,  0.0
92318487-d8c8-482e-8687-3c7ade7385c6,  0.0
