BidderID,Bid
ae30807c-5316-42ee-a031-589fdb08e4ba,29032.0
52852966-92dd-43ac-8435-01b9e6021c7c,5785.734803629139
ee751aeb-9470-475a-8848-5d000a59ce6a,3165.9029200051054
6b0c5540-fb00-4824-8164-1dc69bb8c90c,1596.5555855432951
9ad077de-1acf-46f8-8ae9-481527be0ebe,1088.1234848539402
b5f02143-b63e-4062-bb82-0624909e55ac,959.1653076066946
9eb5a22f-1870-42b1-aaae-2faa5235ae34,916.3514661376041
7548d7ec-edd8-4d1e-bcb7-6d26ce9a6fe7,897.317289772434
92318487-d8c8-482e-8687-3c7ade7385c6,883.286696139556
2aa7a8f8-03dc-4ba8-a149-18e22fea1de0,880.2769158059831
14786232-228b-4215-914c-b1bf75098278,880.0
10d4eae8-2536-4ac8-934c-c14a9b432693,700.0
10fa3930-fa02-4c4a-8fd6-4bc5d831c171,600.0
2e405ca2-8810-4448-b682-5d186ab24391,500.0
bcbad0a2-c502-44ba-9e8a-16ade955ece5,500.0
9f9893bd-5eb5-4e79-9e85-48f3b6e33375,320.0
fa7f5e1c-3016-450a-a778-6aaca9ba1d4a,150.0
40269c75-24f2-4034-a1d5-bcab7d701900,150.0
0e572b2d-4b06-4e93-9244-28d3cbe1d53e,100.0
3a100534-7b8b-4536-9e35-73b4ae6b2a59,100.0
