Bidder,ClickRate
3a100534-7b8b-4536-9e35-73b4ae6b2a59,0.008043310131477185
b4f89140-1764-4d50-889e-95aae2ed8403,  0.0
722ba2cc-8354-4029-adf5-9b901b4afb5c,  0.5
327b7d84-2646-4818-a1ee-a45a2e7d716c,  0.0
fd0b1082-2d68-43c6-849e-6ef7f092c09d,0.008398950131233596
8b105e0d-9c93-499f-b67f-2f2a26407871,0.005235602094240838
24fffcaf-134a-4a99-9756-f9261b74ed6a,0.000998502246630055
ccebcd2f-3eb2-410c-a443-cf8e1fb4fc78,0.004436728395061728
409c8972-a5fa-4233-8b47-7d3d4e4ba961,0.007042253521126761
6f15d700-facb-45be-aaba-bbd1fb359833,0.013736263736263736
54061b39-6e18-45d1-93f4-13adb3ea1986,0.00832438238453276
e7659286-f17e-4d25-ae1b-7bf7bfe55ab5,0.005681818181818182
af413332-8015-480c-9bc5-132de70f9e1d,0.00934408208134848
2de3966f-0109-4c7b-b4a1-fd1dde8b3bb4,0.0074360499702558
6bcbb8b0-002d-43b4-ae73-e270e1318efd,0.02676628761443409
d42271d5-7367-4ffb-95a5-4d1cb2b0dc59,0.018272425249169437
dc3506ad-c068-4aaa-b00f-145d816adefb,0.004984423676012461
ec841a13-dd12-4248-8d11-11345d4cce01,0.0072135447716704425
a95a3cdb-33ba-4e42-a9f4-65e79509bfc6,0.0075628250426773595
62ac6e40-3734-4c74-bb74-def009626725,0.016149068322981366
